ID,Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,AVG,Def10,Def11,Def12,Def13,Def14,Def15,Def16,Def17,Def18,Def19,Def20,Def21,Size10,Size11,Size12,Size13,Size14,Size15,Size16,Size17,Size18,Size19,Size20,Size21
ISS400,ISS 400: Facilities Engineering Services Mgmt,0,0,0,0,0,0,0,0,-0.205850845,-0.177595042,-0.186124743,-0.212287457,5.91,0,0,0,0,0,0,0,0,-121635000,-107575000,-115029000,-133964000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,9,9,9,9
ISS402,ISS 402: Custodial Services,0,0,0,0,0,0,0,0,-0.14903908,-0.160003824,-0.148666671,-0.1386109,4.61,0,0,0,0,0,0,0,0,-24343000,-26776000,-25305000,-24100000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4,5,5,4
ISS403,ISS 403: Refuse Removal,0,0,0,0,0,0,0,0,-0.073249162,-0.07730191,-0.219197755,-0.159592511,6.11,0,0,0,0,0,0,0,0,-6492000,-6875000,-19995000,-14867000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,3,4,3
ISS404,ISS 404: Maintenance - Grounds,0,0,0,0,0,0,0,0,-0.074588944,-0.049714657,-0.038753211,-0.020921714,4.38,0,0,0,0,0,0,0,0,-8220000,-5584000,-4451000,-2456000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,3,2,2
ISS405,ISS 405: Master Planning,0,0,0,0,0,0,0,0,-0.024691358,-0.074800187,-0.08537281,-0.084983904,5.44,0,0,0,0,0,0,0,0,-1708000,-5269000,-6136000,-6230000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,3,3,3
ISS406,ISS 406: Real Estate/Real Property Administration,0,0,0,0,0,0,0,0,-0.010656197,-0.008378694,-0.008438013,-0.010364633,5.52,0,0,0,0,0,0,0,0,-532000,-431000,-442000,-554000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1
ISS408,"ISS 408: Snow, Ice, and Sand Removal",0,0,0,0,0,0,0,0,-0.370438477,-0.127672838,-0.12136397,-0.12082447,4.81,0,0,0,0,0,0,0,0,-11684000,-4096000,-3972000,-4033000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,2,2,2
ISS500,ISS 500: Electrical Services,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ISS501,ISS 501: Heating/Cooling Services,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ISS502,ISS 502: Water Services,0,0,0,0,0,0,0,0,0,-8.45201E-05,0,0,8.08,0,0,0,0,0,0,0,0,0,-2000,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.7,0.7
ISS503,ISS 503: Waste Water Services,0,0,0,0,0,0,0,0,-0.001751379,-0.002005977,-0.001963692,-0.001924059,7.99,0,0,0,0,0,0,0,0,-47000,-49000,-49000,-49000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1
