ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
121,0,0,56433,36476,27034,55717,36319,46569,33574,82418,33719,78309,68172,80437,56385,67719,56879,66432,25210,0,25501,0,25493,0,25569,0
121,0,0,2500,4077,1621,3550,461,461,884,3864,890,5931,4608,5145,3478,4046,3723,4202,2244,0,2220,0,2104,0,2350,0
121,0,0,0,0,0,0,0,0,0,0,0,78,0,274,151,151,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4283,143,-8154,273,0,0,0,0,0,0,0,0
122,0,0,653,669,652,675,650,673,1298,1360,2334,2414,2491,3261,2645,3076,2752,3168,2023,0,2059,0,2096,0,2149,0
122,0,0,111,153,0,159,160,162,163,566,163,572,163,576,166,293,169,298,0,0,0,0,0,0,0,0
122,0,0,185271,186182,64339,187833,112720,166161,259285,346114,259528,298097,265735,294963,259141,283883,261604,282419,118772,0,119224,0,121323,0,123837,0
122,0,0,9714,9416,9834,9623,9624,11337,16536,19234,17782,19721,17472,20036,20285,21437,19672,20205,10394,0,10455,0,10611,0,10864,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-472,24,0,0,0,0,0,0,0,0
200,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,329,0,250,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,2250,6401,17022,4311,13940,7567,19701,17207,26366,13526,25005,14919,0,14934,0,15934,0,14934,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,4708,4732,0,0,0,0,0,0,0
200,0,0,49322,0,24128,0,26058,71314,30349,139928,30117,143450,26349,108565,37456,142156,42544,92153,17589,0,17393,0,17732,0,18111,0
200,0,0,189380,120342,58077,115794,43764,69768,117428,101244,46357,73040,132106,124517,108928,119488,92774,115217,47079,0,46835,0,46863,0,46900,0
200,0,0,0,0,14,0,0,0,24097,48194,112457,78972,44492,72750,92360,93276,64434,64434,18389,0,18731,0,19085,0,19430,0
200,0,0,43,0,0,0,361,3068,846,3160,515,2562,1967,2733,2840,3589,2640,3904,632,0,643,0,654,0,664,0
200,0,0,1848,8457,2877,8584,5429,5429,4478,9266,3165,7054,3331,7743,2833,8115,4524,7925,3084,0,3108,0,3110,0,3114,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-457,0,-963,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-486,0,-827,0,0,0,0,0,0,0,0,0
